timestamp,bitcoin,ethereum
2026-04-02 15:24:15.573144,66381,2043.68
2026-04-02 15:25:15.977143,66374,2042.83
2026-04-02 15:26:16.347203,66377,2042.68
2026-04-02 15:27:16.692336,66398,2042.72
